,text_raw,text_clean
0,"My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip.",my father s family name be pirrip and my christian name philip my infant tongue can make of both name nothing long or much explicit than pip
1,"So, I called myself Pip, and came to be called Pip.",so i call myself pip and come to be call pip
2,"I give Pirrip as my father's family name, on the authority of his tombstone and my sisterMrs.",i give pirrip a my father s family name on the authority of his tombstone and my sistermrs
3,"Joe Gargery, who married the blacksmith.",joe gargery who marry the blacksmith
4,"As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like, were unreasonably derived from their tombstones.",a i never see my father or my mother and never see any likeness of either of them for their day be long before the day of photograph my ﻿1 fancy regard what they be like be unreasonably derive from their tombstone
5,"The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair.",the shape of the letter on my father s give me a odd idea that he be a square stout dark man with curly black hair
6,"From the character and turn of the inscription, ""Also Georgiana Wife of the Above,"" I drew a childish conclusion that my mother was freckled and sickly.",from the character and turn of the inscription also georgiana wife of the above i draw a childish conclusion that my mother be freckle and sickly
7,"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of minewho gave up trying to get a living, exceedingly early in that universal struggleI am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out in this state of existence.",to five little stone lozenge each about a foot and a half long which be arrange in a neat row beside their grave and be sacred to the memory of five little brother of minewho give up try to get a live exceedingly early in that universal strugglei be indebted for a belief i religiously entertain that they have all be bear on their back with their hand in their trouser pocket and have never take them out in this state of existence
8,"Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.",ours be the marsh country down by the river within a the river wind twenty mile of the sea
9,"My first most vivid and broad impression of the identity of things, seems to me to have been gained on a memorable raw afternoon towards evening.",my ﻿1 much vivid and broad impression of the identity of thing seem to me to have be gain on a memorable raw afternoon towards even
10,"At such a time I found out for certain, that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried; and that the dark flat wilderness beyond the churchyard, intersected with dykes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond, was the river; and that the distant savage lair from which the wind was rushing, was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip.",at such a time i find out for certain that this bleak place overgrow with nettle be the churchyard and that philip pirrip late of this parish and also georgiana wife of the above be dead and bury and that alexander bartholomew abraham tobias and roger infant child of the aforesaid be also dead and bury and that the dark flat wilderness beyond the churchyard intersect with dyke and mound and gate with scatter cattle feed on it be the marsh and that the low leaden line beyond be the river and that the distant savage lair from which the wind be rush be the sea and that the small bundle of shiver grow afraid of it all and begin to cry be pip
11,"""Hold your noise!""",hold your noise
