,text_raw,text_clean
0,SLAUGHTERHOUSE-FIVE,slaughterhouse five
1,OR THE CHILDREN'S  CRUSADE,or the child s crusade
2,"A Duty-dance with Death  KURT VONNEGUT, JR.",a duty dance with death kurt vonnegut jr
3,Grateful acknowledgment is made for pennission to reprint the following material:,grateful acknowledgment be make for pennission to reprint the follow material
4,"The Waking': copyright 1953 by Theodore Roethke from  THE COLLECTED POEMS OF THEODORE ROETHKE  printed by pennission of Doubleday & Company, Inc.",the wake copyright by theodore roethke from the collect poem of theodore roethke print by pennission of doubleday company inc
5,THE DESTRUCTION OF DRESDEN by David Irving:,the destruction of dresden by david irving
6,"From the Introduction by Ira C. Eaker, Lt. Gen. USAF (RET.)",from the introduction by ira c eaker lt gen usaf ret
7,and Foreword by Air  Marshall Sir Robert Saundby.,and foreword by air marshall sir robert saundby
8,Copyright 1963 by William Kimber and Co.,copyright by william kimber and co
9,Limited.,limit
10,"Reprinted by permission of Holt, Rinehart and Winston, Inc. and William Kimber and  Co.",reprint by permission of holt rinehart and winston inc and william kimber and co
11,Limited.,limit
12,"'Leven Cent Cotton' by Bob Miller and Emma Dermer: Copyright 1928, 1929 by MCA  Music, a Division of MCA Inc.",leven cent cotton by bob miller and emma dermer copyright by mca music a division of mca inc
13,"Copyright renewed 1955,1956 and assigned to MCA  Music, a division of MCA Inc.",copyright renew and assign to mca music a division of mca inc
14,Used by pennission.,use by pennission
15,Mary O Hare  and,mary o hare and
16,Gerhard Miiller,gerhard miiller
17,"The cattle are lowing,  The Baby awakes,  But the little Lord Jesus  No crying He makes.",the cattle be low the baby awake but the little lord jesus no cry he make
18,"All this happened, more or less.",all this happen much or little
19,"The war parts, anyway, are pretty much true.",the war part anyway be pretty much true
20,One guy I  knew really was shot in Dresden for taking a teapot that wasnt his.,one guy i know really be shoot in dresden for take a teapot that be not his
21,Another guy I knew  really did threaten to have his personal enemies killed by hired gunmen after the war.,another guy i know really do threaten to have his personal enemy kill by hire gunman after the war
22,And so on.,and so on
23,I've changed all the names.,i have change all the name
24,I really did go back to Dresden with Guggenheim money (God love it) in 1967.,i really do go back to dresden with guggenheim money god love it in
25,"It  looked a lot like Dayton, Ohio, more open spaces than Dayton has.",it look a lot like dayton ohio much open space than dayton have
26,There must be tons of  human bone meal in the ground.,there must be ton of human bone meal in the grind
27,"I went back there with an old war buddy, Bernard V. O'Hare, and we made friends  with a taxi driver, who took us to the slaughterhouse where we had been locked up at  night as prisoner of war.",i go back there with a old war buddy bernard v o hare and we make friend with a taxi driver who take us to the slaughterhouse where we have be lock up at night a prisoner of war
28,His name was Gerhard Muller.,his name be gerhard muller
29,He told us that he was a prisoner  of the Americans for a while.,he tell us that he be a prisoner of the americans for a while
30,"We asked him how it was to live under Communism, and  he said that it was terrible at first, because everybody had to work so hard, and because  there wasn't much shelter or food or clothing.",we ask him how it be to live under communism and he say that it be terrible at ﻿1 because everybody have to work so hard and because there be not much shelter or food or clothe
31,But things were much better now.,but thing be much well now
32,"He had a  pleasant little apartment, and his daughter was getting an excellent education.",he have a pleasant little apartment and his daughter be get a excellent education
33,His mother  was incinerated in the Dresden fire-storm.,his mother be incinerate in the dresden fire storm
34,So it goes.,so it go
35,"He sent O'Hare a postcard at Christmastime, and here is what it said:",he send o hare a postcard at christmastime and here be what it say
36,'I wish you and your family also as to your friend Merry Christmas and a happy New  Year and I hope that well meet again in a world of peace and freedom in the taxi cab if  the accident will.,i wish you and your family also a to your friend merry christmas and a happy new year and i hope that good meet again in a world of peace and freedom in the taxi cab if the accident will
37,I like that very much: 'If the accident will.,i like that very much if the accident will
38,I would hate to tell you what this lousy little book cost me in money and anxiety and  time.,i would hate to tell you what this lousy little book cost me in money and anxiety and time
39,"When I got home from the Second World War twenty-three years ago, I thought it  would be easy for me to write about the destruction of Dresden, since all I would have to  do would be to report what I had seen.",when i get home from the 2 world war twenty three year ago i think it would be easy for me to write about the destruction of dresden since all i would have to do would be to report what i have see
40,"And I thought, too, that it would be a masterpiece  or at least make me a lot of money, since the subject was so big.",and i think too that it would be a masterpiece or at little make me a lot of money since the subject be so big
41,"But not many words about Dresden came from my mind then-not enough of them to  make a book, anyway.",but not many word about dresden come from my mind then not enough of them to make a book anyway
42,"And not many words come now, either, when I have become an",and not many word come now either when i have become a
43,"old fart with his memories and his Pall Malls, with his sons full grown.",old fart with his memory and his pall mall with his son full grow
